school_id,school_name,district,latitude,longitude,enrollment,vaccination_rate_pct,absence_rate_pct,high_vax_low_abs
1,District 1 School 1,District 1,22.392046,114.065102,601,71.2,3.3,False
2,District 1 School 2,District 1,22.399826,114.053969,317,71.2,1.53,False
3,District 1 School 3,District 1,22.402485,114.067731,594,61.8,4.18,False
4,District 2 School 1,District 2,22.296738,114.058375,430,84.1,1.56,True
5,District 2 School 2,District 2,22.279288,114.062178,864,79.8,1.35,False
6,District 2 School 3,District 2,22.273248,114.068934,298,79.9,2.15,False
7,District 2 School 4,District 2,22.272912,114.056736,891,99.3,0.83,True
8,District 2 School 5,District 2,22.29073,114.069669,317,68.3,4.33,False
9,District 3 School 1,District 3,22.36779,114.040378,587,67.6,4.38,False
10,District 3 School 2,District 3,22.354687,114.060136,326,58.1,2.19,False
11,District 3 School 3,District 3,22.365177,114.041616,373,61.7,3.38,False
12,District 3 School 4,District 3,22.358881,114.032439,216,60.8,3.11,False
13,District 3 School 5,District 3,22.366051,114.055392,272,76.7,3.77,False
14,District 3 School 6,District 3,22.360846,114.061204,348,91.3,1.1,True
15,District 4 School 1,District 4,22.37023,114.125782,675,80.9,2.1,True
16,District 4 School 2,District 4,22.369522,114.161021,560,92.9,2.1,True
17,District 4 School 3,District 4,22.355137,114.145825,561,68.4,2.87,False
18,District 4 School 4,District 4,22.337366,114.141488,448,65.0,2.49,False
19,District 5 School 1,District 5,22.374248,114.123358,897,74.0,3.53,False
20,District 5 School 2,District 5,22.382868,114.128288,588,61.0,4.43,False
21,District 5 School 3,District 5,22.367905,114.154923,215,89.4,2.12,True
22,District 6 School 1,District 6,22.218442,114.221472,270,54.5,3.56,False
23,District 6 School 2,District 6,22.229693,114.21793,480,44.3,5.25,False
24,District 6 School 3,District 6,22.213407,114.200365,330,55.3,3.23,False
25,District 6 School 4,District 6,22.221558,114.219592,368,80.9,3.09,False
26,District 6 School 5,District 6,22.214727,114.217756,223,55.3,4.5,False
27,District 7 School 1,District 7,22.270459,114.034525,574,60.4,4.69,False
28,District 7 School 2,District 7,22.253158,114.026171,701,60.2,4.86,False
29,District 7 School 3,District 7,22.252954,114.033023,388,100.0,1.05,True
30,District 8 School 1,District 8,22.378547,114.134594,211,83.9,2.75,False
31,District 8 School 2,District 8,22.407845,114.114797,383,42.7,4.71,False
32,District 8 School 3,District 8,22.375419,114.119445,832,69.9,2.72,False
33,District 8 School 4,District 8,22.357661,114.111365,452,73.5,3.56,False
34,District 9 School 1,District 9,22.33532,114.072775,386,67.6,2.76,False
35,District 9 School 2,District 9,22.329409,114.082375,708,60.5,5.08,False
36,District 9 School 3,District 9,22.3212,114.079842,730,82.0,1.85,True
37,District 9 School 4,District 9,22.333495,114.078307,652,71.9,2.78,False
38,District 9 School 5,District 9,22.347646,114.093264,415,54.3,3.3,False
39,District 10 School 1,District 10,22.259767,114.11352,748,69.1,3.44,False
40,District 10 School 2,District 10,22.270649,114.101032,530,60.1,3.41,False
41,District 10 School 3,District 10,22.260563,114.12358,796,99.5,1.1,True
42,District 11 School 1,District 11,22.285887,114.217267,265,86.0,1.84,True
43,District 11 School 2,District 11,22.287019,114.224112,645,80.1,2.7,False
44,District 11 School 3,District 11,22.277417,114.202624,356,76.7,3.07,False
45,District 11 School 4,District 11,22.286146,114.229134,344,67.0,2.73,False
46,District 12 School 1,District 12,22.256988,114.212302,894,66.1,3.33,False
47,District 12 School 2,District 12,22.245027,114.209885,580,67.1,3.96,False
48,District 12 School 3,District 12,22.253222,114.20665,280,73.1,2.96,False
49,District 13 School 1,District 13,22.247757,114.19207,777,64.7,3.91,False
50,District 13 School 2,District 13,22.24517,114.181225,530,44.9,4.25,False
51,District 13 School 3,District 13,22.225246,114.177257,395,81.9,1.77,True
52,District 14 School 1,District 14,22.237236,114.18547,726,56.8,4.35,False
53,District 14 School 2,District 14,22.238017,114.195615,561,100.0,0.62,True
54,District 15 School 1,District 15,22.401744,114.0742,775,55.2,4.24,False
55,District 15 School 2,District 15,22.376513,114.069813,385,87.9,1.56,True
56,District 16 School 1,District 16,22.290183,114.12018,868,72.5,3.07,False
57,District 16 School 2,District 16,22.278145,114.130603,874,60.6,4.64,False
58,District 16 School 3,District 16,22.301423,114.128209,774,50.7,5.55,False
59,District 16 School 4,District 16,22.305472,114.136155,271,61.0,4.42,False
60,District 16 School 5,District 16,22.268821,114.122288,886,62.5,4.05,False
61,District 17 School 1,District 17,22.218948,114.193762,488,57.3,3.71,False
62,District 17 School 2,District 17,22.228705,114.193085,466,66.9,1.73,False
63,District 18 School 1,District 18,22.286041,114.184571,367,76.4,2.92,False
64,District 18 School 2,District 18,22.311847,114.180812,792,63.4,3.24,False
65,District 18 School 3,District 18,22.294264,114.186306,531,81.5,2.52,False
66,District 18 School 4,District 18,22.297295,114.168649,484,63.0,3.86,False
67,District 18 School 5,District 18,22.305763,114.184366,263,58.2,4.4,False
68,District 18 School 6,District 18,22.291571,114.196493,773,93.5,1.43,True
